Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Delta,Day,Cumulative delta
2023-06-25 09:00:00,1916.4,1921.45,1907.49,1918.19,14955.1275,2023-06-25 09:59:59.999,28630060.599801,20623,6240.7854,11947345.836076,0,-8714.342100000002,2023-06-25,-8714.342100000002
2023-06-25 10:00:00,1918.2,1924.51,1913.11,1915.13,14248.777,2023-06-25 10:59:59.999,27337288.868969,20364,6730.3456,12911821.908999,0,-7518.4314,2023-06-25,-16232.773500000003
2023-06-25 11:00:00,1915.13,1918.38,1909.69,1918.37,10992.7725,2023-06-25 11:59:59.999,21051113.283704,17465,4336.4728,8303947.589032,0,-6656.2997,2023-06-25,-22889.073200000003
2023-06-25 12:00:00,1918.37,1919.57,1909.29,1913.32,9456.3193,2023-06-25 12:59:59.999,18098532.536796,17215,4242.6142,8119636.226437,0,-5213.705099999999,2023-06-25,-28102.7783
2023-06-25 13:00:00,1913.32,1914.79,1898.58,1905.64,22412.1934,2023-06-25 13:59:59.999,42698192.884601,30411,12234.2982,23306675.133839,0,-10177.8952,2023-06-25,-38280.673500000004
2023-06-25 14:00:00,1905.65,1909.47,1887.98,1890.21,23463.3503,2023-06-25 14:59:59.999,44543464.967841,28159,11774.1335,22352129.416605,0,-11689.216799999998,2023-06-25,-49969.8903
2023-06-25 15:00:00,1890.2,1890.95,1881.47,1886.51,24275.7926,2023-06-25 15:59:59.999,45812905.014254,28948,13923.6066,26276656.77608,0,-10352.186000000002,2023-06-25,-60322.0763
2023-06-25 16:00:00,1886.51,1894.17,1884.32,1891.9,11994.7088,2023-06-25 16:59:59.999,22661508.277363,17818,6162.0813,11642663.247226,0,-5832.6275000000005,2023-06-25,-66154.7038
2023-06-25 17:00:00,1891.89,1893.67,1885.0,1893.17,7789.6527,2023-06-25 17:59:59.999,14727928.08929,12363,3770.858,7129271.225234,0,-4018.7946999999995,2023-06-25,-70173.4985
2023-06-25 18:00:00,1893.18,1894.85,1881.56,1894.85,11192.9251,2023-06-25 18:59:59.999,21131040.048387,16268,5648.1805,10665644.906185,0,-5544.7446,2023-06-25,-75718.2431
2023-06-25 19:00:00,1894.84,1895.51,1884.39,1894.6,7535.8793,2023-06-25 19:59:59.999,14247363.240022,12965,3565.4959,6740702.935926,0,-3970.3833999999997,2023-06-25,-79688.6265
2023-06-25 20:00:00,1894.6,1902.47,1888.37,1894.23,12242.2171,2023-06-25 20:59:59.999,23231474.891756,18327,6555.0475,12438218.664262,0,-5687.1696,2023-06-25,-85375.7961
2023-06-25 21:00:00,1894.23,1897.67,1893.52,1895.59,4490.2613,2023-06-25 21:59:59.999,8511214.880305,9037,2144.5783,4064904.073562,0,-2345.683,2023-06-25,-87721.4791
2023-06-25 22:00:00,1895.6,1906.3,1892.39,1900.16,9155.1568,2023-06-25 22:59:59.999,17404538.460387,12924,4780.6323,9088701.663133,0,-4374.5245,2023-06-25,-92096.0036
2023-06-25 23:00:00,1900.16,1901.98,1897.43,1898.8,6138.8132,2023-06-25 23:59:59.999,11661279.332745,9000,2819.3764,5355314.267889,0,-3319.4367999999995,2023-06-25,-95415.4404
2023-06-26 00:00:00,1898.8,1904.26,1887.73,1888.36,14460.4227,2023-06-26 00:59:59.999,27420350.018191,26020,6535.0538,12393060.386891,0,-7925.3688999999995,2023-06-26,-7925.3688999999995
2023-06-26 01:00:00,1888.36,1888.56,1866.0,1876.0,44145.7541,2023-06-26 01:59:59.999,82871111.919473,46210,20614.796,38690323.272744,0,-23530.9581,2023-06-26,-31456.326999999997
2023-06-26 02:00:00,1876.0,1878.99,1871.03,1878.6,9921.3701,2023-06-26 02:59:59.999,18603141.937329,13195,5607.1034,10514335.413318,0,-4314.2667,2023-06-26,-35770.5937
2023-06-26 03:00:00,1878.59,1881.01,1874.23,1880.46,4951.8074,2023-06-26 03:59:59.999,9296392.760966,9084,2002.8411,3760837.398198,0,-2948.9662999999996,2023-06-26,-38719.56
2023-06-26 04:00:00,1880.46,1880.47,1875.4,1877.88,4478.4577,2023-06-26 04:59:59.999,8409387.568834,9056,1746.8085,3279685.758501,0,-2731.6492,2023-06-26,-41451.2092
2023-06-26 05:00:00,1877.87,1879.9,1871.04,1877.73,6900.5758,2023-06-26 05:59:59.999,12942905.779319,11750,3203.4699,6008211.90424,0,-3697.1058999999996,2023-06-26,-45148.3151
2023-06-26 06:00:00,1877.74,1898.0,1875.62,1895.94,14160.0861,2023-06-26 06:59:59.999,26696829.256496,22414,8538.9475,16099626.953035,0,-5621.1386,2023-06-26,-50769.4537
2023-06-26 07:00:00,1895.94,1904.76,1885.91,1892.32,22349.6031,2023-06-26 07:59:59.999,42401790.793465,29276,11312.5154,21458169.009441,0,-11037.0877,2023-06-26,-61806.5414
2023-06-26 08:00:00,1892.32,1893.8,1887.31,1892.01,11143.5778,2023-06-26 08:59:59.999,21070472.598511,13500,6464.7942,12223475.069636,0,-4678.783599999999,2023-06-26,-66485.325
2023-06-26 09:00:00,1892.0,1893.95,1882.59,1884.01,14640.3399,2023-06-26 09:59:59.999,27645210.562126,14964,7013.4738,13244580.279225,0,-7626.866100000001,2023-06-26,-74112.1911
2023-06-26 10:00:00,1884.01,1884.01,1872.38,1877.04,30695.9792,2023-06-26 10:59:59.999,57643893.69091,25028,15165.842,28476429.008107,0,-15530.137200000001,2023-06-26,-89642.3283
2023-06-26 11:00:00,1877.03,1881.8,1875.19,1880.87,10091.1808,2023-06-26 11:59:59.999,18967746.908456,13067,4136.3643,7774818.496409,0,-5954.8165,2023-06-26,-95597.1448
2023-06-26 12:00:00,1880.87,1884.66,1874.94,1884.66,10066.5683,2023-06-26 12:59:59.999,18930026.44412,13863,4227.1301,7948972.187485,0,-5839.4382000000005,2023-06-26,-101436.583
2023-06-26 13:00:00,1884.65,1906.59,1882.73,1905.06,23474.3075,2023-06-26 13:59:59.999,44443591.250125,27503,12319.7291,23326394.594168,0,-11154.578399999999,2023-06-26,-112591.1614
2023-06-26 14:00:00,1905.06,1909.1,1871.01,1883.6,42717.983,2023-06-26 14:59:59.999,80718864.461694,41777,20159.9682,38072484.148471,0,-22558.0148,2023-06-26,-135149.1762
2023-06-26 15:00:00,1883.59,1894.0,1880.63,1889.32,18145.1218,2023-06-26 15:59:59.999,34244036.926996,22515,9284.0883,17519029.207271,0,-8861.033500000001,2023-06-26,-144010.2097
2023-06-26 16:00:00,1889.33,1890.69,1846.42,1852.54,63557.077,2023-06-26 16:59:59.999,118411249.492441,56978,27857.7985,51891973.465588,0,-35699.2785,2023-06-26,-179709.48820000002
2023-06-26 17:00:00,1852.54,1855.0,1837.18,1846.81,44804.7652,2023-06-26 17:59:59.999,82809052.792583,40385,20141.538,37226846.617893,0,-24663.2272,2023-06-26,-204372.71540000002
2023-06-26 18:00:00,1846.82,1853.57,1843.0,1850.61,17181.3077,2023-06-26 18:59:59.999,31756206.991674,18350,9588.0345,17720795.736591,0,-7593.273200000001,2023-06-26,-211965.9886
2023-06-26 19:00:00,1850.61,1857.63,1842.11,1854.1,15020.6933,2023-06-26 19:59:59.999,27794625.964304,17323,7854.2949,14534172.68122,0,-7166.398400000001,2023-06-26,-219132.38700000002
2023-06-26 20:00:00,1854.1,1858.36,1850.77,1851.44,10114.9342,2023-06-26 20:59:59.999,18759677.727228,14078,4876.7642,9043800.0937,0,-5238.17,2023-06-26,-224370.557
2023-06-26 21:00:00,1851.44,1856.44,1847.45,1850.8,7803.0807,2023-06-26 21:59:59.999,14455064.810118,11533,3816.1251,7068508.943365,0,-3986.9556000000002,2023-06-26,-228357.51260000002
2023-06-26 22:00:00,1850.8,1860.42,1847.02,1858.98,10019.9001,2023-06-26 22:59:59.999,18577344.336791,11676,5772.7496,10703027.180092,0,-4247.150500000001,2023-06-26,-232604.6631
2023-06-26 23:00:00,1858.98,1860.07,1854.75,1858.97,7898.9675,2023-06-26 23:59:59.999,14668187.363464,8464,3594.0445,6674436.765426,0,-4304.923,2023-06-26,-236909.58610000001
